Team;Stanley Cup Odds;Pts. O/U;Final Pts.
Anaheim Ducks;6500;52.5;NaN
Arizona Coyotes;5000;56.5;NaN
Boston Bruins;1400;71.5;NaN
Buffalo Sabres;4000;55.5;NaN
Calgary Flames;3500;62.5;NaN
Carolina Hurricanes;2200;71.5;NaN
Chicago Blackhawks;4000;49.5;NaN
Colorado Avalanche;700;76.5;NaN
Columbus Blue Jackets;3500;63.5;NaN
Dallas Stars;2200;67.5;NaN
Detroit Red Wings;10000;43.5;NaN
Edmonton Oilers;2200;65.5;NaN
Florida Panthers;4000;59.5;NaN
Los Angeles Kings;6500;49.5;NaN
Minnesota Wild;5000;58.5;NaN
Montreal Canadiens;2800;66.5;NaN
Nashville Predators;2800;65.5;NaN
New Jersey Devils;5000;52.5;NaN
New York Islanders;2500;63.5;NaN
New York Rangers;3000;60.5;NaN
Ottawa Senators;6500;46.5;NaN
Philadelphia Flyers;1400;67.5;NaN
Pittsburgh Penguins;2200;67.5;NaN
San Jose Sharks;5000;52.5;NaN
St. Louis Blues;1800;70.5;NaN
Tampa Bay Lightning;900;75.5;NaN
Toronto Maple Leafs;1400;71.5;NaN
Vancouver Canucks;3000;63.5;NaN
Vegas Golden Knights;800;75.5;NaN
Washington Capitals;2200;64.5;NaN
Winnipeg Jets;4000;60.5;NaN